MODULE,THREADS,SCRIPT,MODEL,TIME,TIME_STDEV,SPEEDUP,EFFICIENCY,MEMORY,MEMORY_STDEV,MEMORY_DELTA
EOCL-compiled,1,java_findbugs,eclipseModel-3.0,,,,,,,
EOCL-compiled,1,java_simple,eclipseModel-3.0,,,,,,,
EOCL-compiled,1,java_simple,eclipseModel-1.0,,,,,,,
EOCL-compiled,1,java_simple,eclipseModel-2.5,,,,,,,
EOCL-compiled,1,java_simple,eclipseModel-all,,,,,,,
EOCL-compiled,1,java_simple,eclipseModel-0.2,,,,,,,
EOCL-interpreted,1,java_manyConstraint1Context,eclipseModel-2.5,,,,,,,
EOCL-interpreted,1,java_1Constraint,eclipseModel-all,,,,,,,
EOCL-interpreted,1,java_simple,eclipseModel-2.5,,,,,,,
EOCL-interpreted,1,java_simple,eclipseModel-3.0,,,,,,,
EOCL-interpreted,1,java_findbugs,eclipseModel-3.0,,,,,,,
EOCL-interpreted,1,java_simple,eclipseModel-1.0,,,,,,,
EOCL-interpreted,1,java_simple,eclipseModel-0.2,,,,,,,
EOCL-interpreted,1,java_simple,eclipseModel-all,,,,,,,
EOCL-interpreted,1,java_findbugs,eclipseModel-2.0,,,,,,,
EolModule,1,imdb_select,imdb-all,7732228,608123,1,1,869,521,
EolModule,1,imdb_selectOne,imdb-2.0,425990,10413,1,1,7612,1986,
EolModule,1,imdb_selectOne,imdb-all,1354096,22260,1,1,11385,2595,
EolModule,1,imdb_selectOne,imdb-1.0,119374,2383,1,1,4021,1248,
EolModule,1,imdb_selectOne,imdb-0.5,41304,1455,1,1,2085,692,
EolModuleParallel,16,imdb_parallelSelectOne,imdb-2.0,47376,771,8.992,0.562,7535,2173,
EolModuleParallel,32,imdb_parallelSelectOne,imdb-0.5,6735,460,6.133,0.192,4036,1892,
EolModuleParallel,32,imdb_parallelSelectOne,imdb-2.0,42726,951,9.97,0.312,7302,2273,
EolModuleParallel,32,imdb_parallelSelectOne,imdb-all,126143,2335,10.735,0.335,12088,2510,
EolModuleParallel,16,imdb_parallelSelectOne,imdb-0.5,6673,364,6.19,0.387,4224,1915,
EolModuleParallel,16,imdb_parallelSelectOne,imdb-all,142391,3591,9.51,0.594,11967,2203,
EolModuleParallel,16,imdb_parallelSelectOne,imdb-1.0,14652,796,8.147,0.509,4645,2108,
EolModuleParallel,32,imdb_parallelSelectOne,imdb-1.0,13286,716,8.985,0.281,6042,2356,
EolModuleParallel,32,imdb_parallelSelect,imdb-all,579900,8869,13.334,0.417,4093,2396,
EolModuleParallel,16,imdb_parallelSelect,imdb-all,621650,23297,12.438,0.777,4002,2792,
EvlModule,1,java_simple,eclipseModel-2.5,33698,390,,,1345,605,
EvlModule,1,java_simple,eclipseModel-0.2,4150,31,,,926,5,
EvlModule,1,java_simple,eclipseModel-0.1,2140,,,,592,,
EvlModule,1,imdb_validator,imdb-all,358154,,,,400,,
EvlModule,1,java_simple,eclipseModel-3.0,41876,406,,,875,706,
EvlModule,1,java_manyConstraint1Context,eclipseModel-2.5,13337,522,,,692,623,
EvlModule,1,java_simple,eclipseModel-all,54110,343,,,572,274,
EvlModule,1,java_findbugs,eclipseModel-3.0,5600673,,,,103,,
