MODULE,THREADS,SCRIPT,MODEL,EXEC_TIME,EXEC_TIME_STDEV,SPEEDUP,EFFICIENCY,EXEC_MEMORY,EXEC_MEMORY_STDEV,MODEL_TIME,MODEL_TIME_STDEV,MODEL_MEMORY,MODEL_MEMORY_STDEV
EgxModuleNoOutput,1,imdb2files,imdb-all,1729558,39672,,,2459,1967,47794,2263,4128,1391
EgxModuleParallelElementsNoOutput,16,imdb2files,imdb-all,226356,2956,,,6286,3918,50543,2905,3778,1506
EgxModuleParallelElementsNoOutput,4,imdb2files,imdb-all,438124,22684,,,6976,3180,49021,3986,4994,1010
EgxModuleParallelElementsNoOutput,8,imdb2files,imdb-all,250874,5321,,,6849,2537,46311,579,4925,1083
EgxModuleParallelGenerationRuleAtomsNoOutput,16,imdb2files,imdb-all,228823,2521,,,6601,3459,48431,3549,3906,2003
EgxModuleParallelGenerationRuleAtomsNoOutput,4,imdb2files,imdb-all,438172,33449,,,6564,2955,48535,3879,4131,1352
EgxModuleParallelGenerationRuleAtomsNoOutput,8,imdb2files,imdb-all,253303,5969,,,6123,3452,49199,3277,4131,1995
EOCL-compiled_java,1,simple,eclipseModel-all,69416,10501,,,2164,1289,,,,
EOCL-interpreted_imdb,1,select,imdb-2.0,5958586,137868,,,18642,1462,,,,
EOCL-interpreted_java,1,simple,eclipseModel-all,313111,32798,,,2030,2157,,,,
EolModuleParallel,16,count,imdb-2.0,405708,28012,9.381,0.586,3454,861,25295,,3476,
EolModuleParallel,16,parallelFilter,imdb-2.0,406247,22351,,,2403,2148,26676,944,3476,0
EolModuleParallel,16,selectOne,imdb-all,177443,5195,9.371,0.586,4096,2645,52414,4229,4690,1706
EolModuleParallel,16,select,imdb-2.0,407806,19771,9.411,0.588,3916,2243,25769,1330,3476,1
EolModule,1,count,imdb-2.0,3805923,35514,,,1074,644,26870,,3476,
EolModule,1,filter,imdb-2.0,3789355,67492,,,2436,2396,25582,2184,3476,1
EolModule,1,selectOne,imdb-all,1662893,89695,,,1337,891,49657,4329,3965,1502
EolModule,1,select,imdb-2.0,3837988,161284,,,2622,2456,26634,3715,3553,133
EvlModuleParallelConstraintAtoms,16,isbn,dblp-all,168038,47779,,,10484,1771,92055,8816,7705,1244
EvlModuleParallelConstraintAtoms,16,simple,eclipseModel-all,32814,12009,,,5077,2785,67957,4162,4950,658
EvlModuleParallelConstraintAtoms,1,isbn,dblp-all,954353,52278,,,7740,1870,101451,7523,7492,910
EvlModuleParallelConstraintAtoms,2,isbn,dblp-all,490205,56336,,,9361,2525,96222,6951,7951,1053
EvlModuleParallelConstraintAtoms,4,isbn,dblp-all,275049,44877,,,9301,2580,93470,4336,7856,1064
EvlModuleParallelConstraintAtoms,8,isbn,dblp-all,180444,50667,,,10535,3167,92854,5217,7269,858
EvlModuleParallelContextAtoms,16,isbn,dblp-all,143560,18329,,,9395,2294,94945,2141,7211,740
EvlModuleParallelContextAtoms,1,isbn,dblp-all,946924,51996,,,7743,3316,96112,3367,6777,307
EvlModuleParallelContextAtoms,2,isbn,dblp-all,470465,14496,,,9023,2971,88386,6161,7356,1202
EvlModuleParallelContextAtoms,4,isbn,dblp-all,249029,12981,,,8424,2825,91986,2913,8034,1108
EvlModuleParallelContextAtoms,8,isbn,dblp-all,153455,16721,,,8069,2238,98812,4923,7112,687
EvlModuleParallelElements,16,isbn,dblp-all,138579,14458,,,9096,3925,93699,7796,7386,941
EvlModuleParallelElements,16,simple,eclipseModel-all,26576,8067,,,3726,2166,68781,4733,5778,1333
EvlModuleParallelElements,1,isbn,dblp-all,901020,38257,,,8065,2768,95723,7369,7654,741
EvlModuleParallelElements,2,isbn,dblp-all,453912,4225,,,9337,2654,96625,6227,7369,1004
EvlModuleParallelElements,4,isbn,dblp-all,240556,12237,,,8550,2485,97435,6928,7452,1016
EvlModuleParallelElements,8,isbn,dblp-all,146107,13789,,,8866,3119,94200,9155,8662,940
EvlModule,1,isbn,dblp-all,848527,81014,,,8010,2659,95924,7553,7821,1193
EvlModule,1,simple,eclipseModel-all,134800,14492,,,3612,2704,71402,4701,5176,1782
JavaQueryParallel_imdb,1,count,imdb-2.0,20366,825,,,3630,4022,27832,1850,3476,
JavaQueryParallel_imdb,1,filter,imdb-2.0,20335,625,,,1007,470,24518,3057,3476,1
JavaQueryParallel_imdb,1,selectOne,imdb-all,16687,2432,,,5203,300,53473,5566,4423,981
JavaQuery_imdb,1,count,imdb-2.0,144158,2334,,,1371,1367,26540,322,3476,
JavaQuery_imdb,1,filter,imdb-2.0,133770,13661,,,3211,1689,25110,1598,3502,44
JavaQuery_imdb,1,selectOne,imdb-all,144107,34353,,,1805,694,52874,4103,3519,1622
