MODULE,THREADS,SCRIPT,MODEL,EXEC_TIME,EXEC_TIME_STDEV,SPEEDUP,EFFICIENCY,EXEC_MEMORY,EXEC_MEMORY_STDEV,MODEL_TIME,MODEL_TIME_STDEV,MODEL_MEMORY,MODEL_MEMORY_STDEV
EgxModuleNoOutput,1,imdb2files,imdb-0.1,13761,235,2.286,2.286,441,66,712,20,267,12
EgxModuleNoOutput,1,imdb2files,imdb-1.0,142218,2353,2.32,2.32,2082,974,4692,249,1505,13
EgxModuleNoOutput,1,imdb2files,imdb-all,550191,10327,,,2742,1198,21562,463,4003,29
EgxModuleParallelElementsNoOutput,16,imdb2files,imdb-0.1,3844,,8.185,0.512,7456,,834,,286,
EgxModuleParallelGenerationRuleAtoms,16,imdb2files,imdb-0.1,10867,6390,2.895,0.181,2145,1941,698,8,267,11
EgxModuleParallelGenerationRuleAtoms,16,imdb2files,imdb-1.0,89131,57202,3.702,0.231,4632,3510,4766,55,1605,78
EgxModuleParallelGenerationRuleAtoms,2,imdb2files,imdb-0.1,17948,5179,1.753,0.876,231,140,705,3,265,0
EgxModuleParallelGenerationRuleAtoms,32,imdb2files,imdb-0.1,10718,6307,2.935,0.092,2637,2297,702,7,263,18
EgxModuleParallelGenerationRuleAtoms,4,imdb2files,imdb-0.1,7635,492,4.121,1.03,6548,1490,704,12,260,6
EgxModuleParallelGenerationRuleAtoms,64,imdb2files,imdb-0.1,4918,505,6.397,0.1,5273,3244,703,5,259,7
EgxModuleParallelGenerationRuleAtoms,8,imdb2files,imdb-0.1,5460,442,5.762,0.72,5786,2827,704,6,268,11
EgxModuleParallelGenerationRuleAtomsNoOutput,16,imdb2files,imdb-0.1,3314,493,9.494,0.593,6646,879,702,11,265,4
EgxModuleParallelGenerationRuleAtomsNoOutput,16,imdb2files,imdb-1.0,28646,679,11.519,0.72,4199,3772,4595,30,1498,27
EgxModuleParallelGenerationRuleAtomsNoOutput,16,imdb2files,imdb-all,109797,884,,,5840,1269,21760,808,4248,248
EgxModuleParallelGenerationRuleAtomsNoOutput,2,imdb2files,imdb-0.1,7773,471,4.048,2.024,4016,657,698,6,269,9
EgxModuleParallelGenerationRuleAtomsNoOutput,32,imdb2files,imdb-0.1,3379,421,9.311,0.291,6805,989,700,10,263,5
EgxModuleParallelGenerationRuleAtomsNoOutput,4,imdb2files,imdb-0.1,4475,433,7.031,1.758,4365,1626,702,8,263,5
EgxModuleParallelGenerationRuleAtomsNoOutput,64,imdb2files,imdb-0.1,3516,348,8.948,0.14,6065,3021,700,6,255,13
EgxModuleParallelGenerationRuleAtomsNoOutput,8,imdb2files,imdb-0.1,3513,476,8.956,1.119,6534,897,700,6,265,0
EgxModule,1,imdb2files,imdb-0.1,31462,8263,1.0,1.0,569,500,704,8,258,16
EgxModule,1,imdb2files,imdb-1.0,329984,85055,1.0,1.0,810,485,4860,306,1565,27
EOCL-compiled_imdb,1,select,imdb-1.5,1776992,12993,,,20450,3174,,,,
EOCL-compiled_java,1,equals,eclipseModel-all,12693,1373,,,2488,2038,,,,
EOCL-compiled_java,1,simple,eclipseModel-all,21207,1099,,,1513,505,,,,
EOCL-interpreted_imdb,1,select,imdb-1.5,1753972,27362,,,15046,2596,,,,
EOCL-interpreted_java,1,equals,eclipseModel-all,11843,1971,,,4519,1866,,,,
EOCL-interpreted_java,1,manyContext1Constraint,eclipseModel-0.2,1797,841,,,902,230,,,,
EOCL-interpreted_java,1,simple,eclipseModel-all,98866,2851,,,3273,1665,,,,
EolModuleParallel,16,atMostN,dblp-all,44455,4860,3.513,0.22,1313,450,39704,447,7300,74
EolModuleParallel,16,mapBy,dblp-all,7466,297,3.124,0.195,1600,381,39826,718,7309,175
EolModuleParallel,16,atLeastN,imdb-1.0,47170,1342,4.854,0.303,2762,2388,5326,381,922,282
EolModuleParallel,16,atLeastN,imdb-2.0,89180,2642,3.913,0.245,6479,2044,11145,,2245,
EolModuleParallel,16,count,imdb-1.0,121859,1249,4.595,0.287,2644,1487,4629,347,1572,52
EolModuleParallel,16,count,imdb-1.5,184237,1631,5.342,0.334,2084,1846,8315,553,1460,706
EolModuleParallel,16,filter,imdb-1.0,259249,19752,2.771,0.173,69,36,5313,,520,
EolModuleParallel,16,filter,imdb-1.5,350028,137,2.512,0.157,56,28,8576,,745,
EolModuleParallel,16,parallelFilter,imdb-1.5,187299,1077,,,1342,1629,8390,55,1079,33
EolModuleParallel,16,selectOne,imdb-1.0,43454,739,4.674,0.292,1698,982,4833,79,1606,67
EolModuleParallel,16,select,imdb-0.2,21130,599,5.235,0.327,3,7,1304,78,104,1
EolModuleParallel,16,select,imdb-1.5,191837,6602,5.89,0.368,24,55,8542,,752,
EolModuleParallel,16,select,imdb-all,447201,9553,5.385,0.337,60,133,24987,,1788,
EolModuleParallel,1,atMostN,dblp-all,159962,1928,0.976,0.976,1406,560,39813,464,7266,123
EolModuleParallel,1,mapBy,dblp-all,26652,205,0.875,0.875,1684,251,39591,489,7299,251
EolModuleParallel,1,atLeastN,imdb-1.0,222737,29064,1.028,1.028,1065,1681,5335,440,754,333
EolModuleParallel,1,atLeastN,imdb-2.0,352328,69,0.99,0.99,5548,683,11902,,2260,
EolModuleParallel,1,count,imdb-1.0,567659,6577,0.987,0.987,465,323,4633,263,1595,56
EolModuleParallel,1,count,imdb-1.5,1021882,113713,0.963,0.963,445,682,8504,440,1039,349
EolModuleParallel,1,filter,imdb-1.5,1203140,6529,0.731,0.731,56,65,8618,105,748,2
EolModuleParallel,1,selectOne,imdb-1.0,204022,1327,0.996,0.996,374,209,4796,85,1563,19
EolModuleParallel,2,atMostN,dblp-all,85843,2202,1.819,0.909,1331,623,39780,322,7020,113
EolModuleParallel,2,mapBy,dblp-all,14748,346,1.582,0.791,1606,348,39613,511,7159,298
EolModuleParallel,2,atLeastN,imdb-1.0,117972,3249,1.941,0.971,1847,1487,5257,228,903,305
EolModuleParallel,2,atLeastN,imdb-2.0,192098,532,1.817,0.908,8100,490,11247,,2257,
EolModuleParallel,2,count,imdb-1.0,287915,4195,1.945,0.973,943,611,4611,266,1578,40
EolModuleParallel,2,count,imdb-1.5,515253,61702,1.91,0.955,892,1000,8477,522,1040,349
EolModuleParallel,2,filter,imdb-1.5,669514,26876,1.313,0.656,59,62,8472,162,756,11
EolModuleParallel,2,selectOne,imdb-1.0,103786,1216,1.957,0.979,620,378,4929,282,1598,53
EolModuleParallel,4,atMostN,dblp-all,50435,4610,3.096,0.774,1748,279,39303,715,7206,245
EolModuleParallel,4,mapBy,dblp-all,9408,371,2.479,0.62,1555,359,39497,476,7006,662
EolModuleParallel,4,atLeastN,imdb-1.0,67302,1776,3.402,0.851,2435,2181,5168,91,899,295
EolModuleParallel,4,atLeastN,imdb-2.0,113426,6619,3.076,0.769,4476,3929,11099,,2428,
EolModuleParallel,4,count,imdb-1.0,159564,1813,3.51,0.877,1524,884,4569,186,1594,68
EolModuleParallel,4,count,imdb-1.5,265697,20006,3.704,0.926,912,915,8302,374,1033,316
EolModuleParallel,4,filter,imdb-1.5,403150,5116,2.181,0.545,57,61,8374,176,754,13
EolModuleParallel,4,selectOne,imdb-1.0,56896,653,3.57,0.892,1830,883,4771,25,1576,21
EolModuleParallel,8,atMostN,dblp-all,44919,3152,3.476,0.434,1240,483,39440,469,7197,151
EolModuleParallel,8,mapBy,dblp-all,7809,342,2.987,0.373,1565,322,39472,639,7278,189
EolModuleParallel,8,atLeastN,imdb-0.5,1,2,,,,,214,,1,
EolModuleParallel,8,atLeastN,imdb-1.0,51868,2286,4.415,0.552,881,1479,5536,382,740,312
EolModuleParallel,8,atLeastN,imdb-2.0,87307,1679,3.997,0.5,3118,2997,11065,,2266,
EolModuleParallel,8,count,imdb-1.0,130436,1775,4.293,0.537,2670,2053,4567,203,1581,47
EolModuleParallel,8,count,imdb-1.5,198439,2197,4.96,0.62,1462,1543,8408,479,1033,345
EolModuleParallel,8,filter,imdb-1.5,298864,590,2.942,0.368,65,16,8525,,738,
EolModuleParallel,8,selectOne,imdb-1.0,46596,859,4.359,0.545,1723,1480,4821,70,1630,79
EolModule,1,atMostN,dblp-all,156156,4514,,,797,416,39315,348,7107,108
EolModule,1,mapBy,dblp-all,23326,542,,,1590,538,39698,812,6855,943
EolModule,1,atLeastN,imdb-1.0,228976,3543,,,1606,1351,5278,383,1070,70
EolModule,1,atLeastN,imdb-2.0,348952,1852,,,2534,1068,12755,,2408,
EolModule,1,count,imdb-1.0,560002,6890,,,348,386,4652,422,1527,17
EolModule,1,count,imdb-1.5,984200,113148,,,957,1024,8584,588,1469,477
EolModule,1,filter,imdb-1.0,718409,19355,,,38,54,5387,,505,
EolModule,1,filter,imdb-1.5,879400,143,,,250,33,9043,,1080,
EolModule,1,selectOne,imdb-1.0,203109,716,,,244,293,4949,299,1608,74
EolModule,1,select,imdb-0.2,110624,5524,,,6,9,1368,117,103,
EolModule,1,select,imdb-1.5,1129938,56923,,,38,59,9114,197,747,
EolModule,1,select,imdb-all,2408343,127604,,,61,136,25364,,1798,
EvlModuleJmsMasterBatchLocal,1,findbugs,eclipseModel-0.1,4541,215,1.952,1.952,959,793,1174,33,210,58
EvlModuleJmsMasterBatchLocal,1,findbugs,eclipseModel-0.2,12548,339,3.451,3.451,797,526,1818,26,985,49
EvlModuleJmsMasterBatchLocal,1,findbugs,eclipseModel-0.5,60922,2691,5.251,5.251,284,203,3590,45,1674,81
EvlModuleJmsMasterBatchLocal,1,findbugs,eclipseModel-1.0,233434,3689,5.108,5.108,1862,569,6623,293,769,497
EvlModuleJmsMasterBatchLocal,3,findbugs,eclipseModel-0.1,5474,144,1.62,0.54,1415,154,1298,44,250,46
EvlModuleJmsMasterBatchLocal,3,findbugs,eclipseModel-0.2,12760,143,3.394,1.131,838,454,2674,119,969,23
EvlModuleJmsMasterBatchLocal,3,findbugs,eclipseModel-0.5,58609,847,5.459,1.82,352,187,4809,94,1681,66
EvlModuleJmsMasterBatchLocal,3,findbugs,eclipseModel-1.0,170410,5299,6.998,2.333,1045,454,8099,326,1030,450
