MODULE,THREADS,SCRIPT,MODEL,EXEC_TIME,EXEC_TIME_STDEV,SPEEDUP,EFFICIENCY,EXEC_MEMORY,EXEC_MEMORY_STDEV,MODEL_TIME,MODEL_TIME_STDEV,MODEL_MEMORY,MODEL_MEMORY_STDEV
EgxModuleHDD,1,imdb2files,imdb-0.5,96285,8008,1.134,1.134,1635,235,2977,32,797,17
EgxModuleHDD,1,imdb2files,imdb-1.5,308713,42905,1.129,1.129,827,322,11241,36,1171,53
EgxModuleHDD,1,imdb2files,imdb-3.0,844321,50263,0.749,0.749,1437,356,24057,213,2975,393
EgxModuleNoOutput,1,imdb2files,imdb-0.5,89039,8043,1.227,1.227,1883,962,2931,38,805,28
EgxModuleNoOutput,1,imdb2files,imdb-1.5,257470,11296,1.354,1.354,949,285,11024,112,1129,42
EgxModuleNoOutput,1,imdb2files,imdb-3.0,562694,11825,1.123,1.123,1229,408,23596,161,2809,265
EgxModuleParallelGenerationRuleAtoms,128,imdb2files,imdb-0.5,14067,400,7.764,0.061,2964,893,2965,35,811,24
EgxModuleParallelGenerationRuleAtoms,128,imdb2files,imdb-1.5,39002,828,8.939,0.07,6402,3116,11230,82,1186,157
EgxModuleParallelGenerationRuleAtoms,128,imdb2files,imdb-3.0,76764,257,8.234,0.064,6894,1862,24039,143,2680,22
EgxModuleParallelGenerationRuleAtoms,16,imdb2files,imdb-0.5,13137,433,8.314,0.52,7203,676,2964,18,819,24
EgxModuleParallelGenerationRuleAtoms,16,imdb2files,imdb-1.5,37163,299,9.381,0.586,4880,1431,11193,22,1173,169
EgxModuleParallelGenerationRuleAtoms,16,imdb2files,imdb-3.0,74630,428,8.47,0.529,3081,1806,24008,225,2823,323
EgxModuleParallelGenerationRuleAtoms,1,imdb2files,imdb-0.5,96541,1365,1.131,1.131,1330,425,2999,54,837,34
EgxModuleParallelGenerationRuleAtoms,1,imdb2files,imdb-1.5,303515,9698,1.149,1.149,1131,244,11067,58,1095,27
EgxModuleParallelGenerationRuleAtoms,1,imdb2files,imdb-3.0,647456,25946,0.976,0.976,2117,448,23900,263,2950,379
EgxModuleParallelGenerationRuleAtoms,2,imdb2files,imdb-0.5,54843,4014,1.991,0.996,5806,2525,2972,28,813,10
EgxModuleParallelGenerationRuleAtoms,2,imdb2files,imdb-1.5,169597,4869,2.056,1.028,6172,3035,11083,35,1118,82
EgxModuleParallelGenerationRuleAtoms,2,imdb2files,imdb-3.0,347789,17841,1.817,0.908,6590,2566,23940,110,2666,42
EgxModuleParallelGenerationRuleAtoms,32,imdb2files,imdb-0.5,13012,243,8.393,0.262,8024,588,2961,21,808,24
EgxModuleParallelGenerationRuleAtoms,32,imdb2files,imdb-1.5,36737,113,9.49,0.297,6593,1661,11179,102,1122,55
EgxModuleParallelGenerationRuleAtoms,32,imdb2files,imdb-3.0,74801,128,8.45,0.264,5738,815,23979,212,2847,337
EgxModuleParallelGenerationRuleAtoms,4,imdb2files,imdb-0.5,31646,2276,3.451,0.863,6388,774,2925,60,819,15
EgxModuleParallelGenerationRuleAtoms,4,imdb2files,imdb-1.5,96175,2794,3.625,0.906,3739,2367,11132,91,1254,232
EgxModuleParallelGenerationRuleAtoms,4,imdb2files,imdb-3.0,192481,6018,3.284,0.821,4837,3420,23949,104,2998,413
EgxModuleParallelGenerationRuleAtoms,64,imdb2files,imdb-0.5,13854,544,7.883,0.123,3907,4327,2962,21,840,21
EgxModuleParallelGenerationRuleAtoms,64,imdb2files,imdb-1.5,37658,336,9.258,0.145,5600,2995,11146,91,1208,196
EgxModuleParallelGenerationRuleAtoms,64,imdb2files,imdb-3.0,76553,567,8.257,0.129,6618,2474,24002,79,2815,325
EgxModuleParallelGenerationRuleAtoms,8,imdb2files,imdb-0.5,18250,241,5.984,0.748,7051,262,2953,48,819,27
EgxModuleParallelGenerationRuleAtoms,8,imdb2files,imdb-1.5,54971,1375,6.342,0.793,4885,1195,11164,65,1137,78
EgxModuleParallelGenerationRuleAtoms,8,imdb2files,imdb-3.0,110734,5248,5.708,0.714,7559,2794,23890,107,2982,392
EgxModuleParallelGenerationRuleAtomsHDD,128,imdb2files,imdb-0.5,14403,871,7.583,0.059,3596,2043,2961,41,816,20
EgxModuleParallelGenerationRuleAtomsHDD,128,imdb2files,imdb-1.5,38361,526,9.088,0.071,7210,334,11336,236,1101,84
EgxModuleParallelGenerationRuleAtomsHDD,128,imdb2files,imdb-3.0,75840,526,8.335,0.065,7378,2904,24014,148,2968,378
EgxModuleParallelGenerationRuleAtomsHDD,16,imdb2files,imdb-0.5,13227,255,8.257,0.516,7041,640,2969,31,816,25
EgxModuleParallelGenerationRuleAtomsHDD,16,imdb2files,imdb-1.5,37273,734,9.354,0.585,4385,1917,11169,61,1103,73
EgxModuleParallelGenerationRuleAtomsHDD,16,imdb2files,imdb-3.0,75029,1153,8.425,0.527,6082,2908,23892,270,3208,315
EgxModuleParallelGenerationRuleAtomsHDD,1,imdb2files,imdb-0.5,96071,2185,1.137,1.137,1777,791,2983,40,811,30
EgxModuleParallelGenerationRuleAtomsHDD,1,imdb2files,imdb-1.5,319714,22773,1.09,1.09,1089,378,11173,54,1250,222
EgxModuleParallelGenerationRuleAtomsHDD,1,imdb2files,imdb-3.0,657065,35135,0.962,0.962,1971,443,23960,113,2975,398
EgxModuleParallelGenerationRuleAtomsHDD,2,imdb2files,imdb-0.5,56157,5336,1.945,0.973,6357,857,2981,43,827,16
EgxModuleParallelGenerationRuleAtomsHDD,2,imdb2files,imdb-1.5,167310,5466,2.084,1.042,7288,3216,11129,91,1246,219
EgxModuleParallelGenerationRuleAtomsHDD,2,imdb2files,imdb-3.0,352840,23328,1.791,0.895,6489,3113,23791,161,2852,333
EgxModuleParallelGenerationRuleAtomsHDD,32,imdb2files,imdb-0.5,12973,136,8.419,0.263,8031,733,2975,23,837,26
EgxModuleParallelGenerationRuleAtomsHDD,32,imdb2files,imdb-1.5,36900,234,9.448,0.295,6353,3369,11087,74,1289,222
EgxModuleParallelGenerationRuleAtomsHDD,32,imdb2files,imdb-3.0,74581,112,8.475,0.265,7453,3036,24007,126,2973,370
