MODULE,THREADS,SCRIPT,MODEL,EXEC_TIME,EXEC_TIME_STDEV,SPEEDUP,EFFICIENCY,EXEC_MEMORY,EXEC_MEMORY_STDEV,MODEL_TIME,MODEL_TIME_STDEV,MODEL_MEMORY,MODEL_MEMORY_STDEV
EvlModuleJmsMasterBatch,0,java_1Constraint,eclipseModel-2.0,1146580,61329,4.687,,25,1,14750,522,650,1
EvlModuleJmsMasterBatch,0,simulink_live,darkd0,505726,31780,0.959,,5424,67,39934,37163,,
EvlModuleJmsMasterBatch,10,java_1Constraint,eclipseModel-2.0,513030,,10.475,1.047,2432,,15728,,1547,
EvlModuleJmsMasterBatch,15,java_1Constraint,eclipseModel-2.0,76818,3977,69.96,4.664,19,2,14979,413,645,8
EvlModuleJmsMasterBatch,15,java_findbugs,eclipseModel-2.0,76256,4831,,,18,2,14861,329,642,9
EvlModuleJmsMasterBatch,15,simulink_live,darkd0,205766,17581,2.358,0.157,52,29,14400,2656,9,9
EvlModuleJmsMasterBatch,16,java_findbugs,eclipseModel-2.0,82458,,,,109,,14636,,638,
EvlModuleJmsMasterBatch,1,java_1Constraint,eclipseModel-2.0(0.45mp),584787,,,,24,,14967,,656,
EvlModuleJmsMasterBatch,1,java_1Constraint,eclipseModel-2.0(0.4mp),635580,,,,23,,15144,,638,
EvlModuleJmsMasterBatch,1,java_1Constraint,eclipseModel-2.0(0.5mp),597987,24838,,,24,,15550,223,650,1
EvlModuleJmsMasterBatch,1,java_1Constraint,eclipseModel-2.0,572642,8010,9.385,9.385,24,0,15052,73,648,8
EvlModuleJmsMasterBatch,25,java_1Constraint,eclipseModel-2.0,219177,1504,24.52,0.981,1980,1096,14633,190,1538,84
EvlModuleJmsMasterBatch,25,java_1Constraint,eclipseModel-2.0,43917,555,122.372,4.895,3162,1053,14712,140,1495,112
EvlModuleJmsMasterBatch,2,java_1Constraint,eclipseModel-2.0,333384,41038,16.12,8.06,23,1,14942,339,652,2
EvlModuleJmsMasterBatch,4,java_1Constraint,eclipseModel-2.0,237784,6270,22.601,5.65,21,1,15145,385,650,7
EvlModuleJmsMasterBatch,4,java_findbugs,eclipseModel-0.2,45700,53496,,,25,1,2638,302,66,0
EvlModuleJmsMasterBatch,4,java_findbugs,eclipseModel-1.0,187035,195561,,,106,3,7784,428,322,1
EvlModuleJmsMasterBatch,4,simulink_live,darkd0,533439,,0.91,0.228,184,,72004,,,
EvlModuleJmsMasterBatch,8,java_1Constraint,eclipseModel-2.0,132515,7974,40.555,5.069,21,,14939,160,652,2
EvlModuleParallelContextAtoms,6,java_findbugs,eclipseModel-0.2,15252,826,,,33,5,2585,208,66,1
EvlModuleParallelContextAtoms,6,java_findbugs,eclipseModel-1.0,306498,5958,,,162,6,8134,668,324,1
EvlModuleParallelElements,1,java_1Constraint,eclipseModel-2.0,5616774,40122,0.957,0.957,30,7,15362,239,650,1
EvlModuleParallelElements,3,java_1Constraint,eclipseModel-2.0,2071796,59942,2.594,0.865,33,4,14710,727,650,2
EvlModuleParallelElements,6,java_1Constraint,eclipseModel-2.0,1135523,77884,4.733,0.789,31,6,14861,551,650,1
EvlModuleParallelElements,6,java_findbugs,eclipseModel-0.2,23186,15593,,,30,7,2548,146,66,1
EvlModule,1,java_1Constraint,eclipseModel-2.0,5374210,229271,1.0,1.0,29,6,15376,498,649,2
EvlModule,1,simulink_live,darkd0,485167,30581,1.0,1.0,5438,86,52518,19122,,
EvlModule,1,simulink_live,darkd6,507427,744,1.0,1.0,5468,1,14150,1051,,
